id,first_name,last_name,birth_date,average_mark,count_of_lessons_absent,count_of_lessons_sick,gender
157,Симон,Килимник,1996-04-27,56,8,9,Male
158,Аліна,Яремчук,2007-06-21,46,1,2,Female
159,Валентина,Вишиваний,2004-01-12,99,0,10,Female
160,Остап,Андрощук,1998-07-18,84,2,0,Male
161,Орина,Артюх,2002-01-22,81,6,8,Female
162,Юстим,Щербань,1996-09-02,92,4,0,Male
163,Сніжана,Охріменко,1996-04-03,15,3,7,Female
164,Ярослава,Павличенко,2002-07-14,99,10,9,Female
165,Мирослав,Деряжний,1999-10-11,81,10,4,Male
166,Аліна,Швачка,1995-11-28,2,0,4,Female
167,Дарина,Андрощук,1999-10-23,39,7,8,Female
168,Вікторія,Верховинець,1998-10-20,18,7,9,Female
169,Маруся,Андрійович,2000-09-21,7,7,3,Female
170,Єфрем,Данько,2001-09-12,42,7,9,Male
171,Леопольд,Зінчук,2000-02-07,48,2,7,Male
172,Йосип,Фесенко,1994-07-18,69,0,5,Male
173,Розалія,Яковенко,1998-05-21,61,2,9,Female
174,Розалія,Тесленко,2003-10-12,33,9,9,Female
175,Марина,Бабак,2001-05-30,94,10,8,Female
176,Артем,Павличенко,2004-12-15,79,8,4,Male
177,Марта,Примаченко,2001-03-21,63,8,0,Female
178,Еріка,Яковенко,2007-11-30,53,1,3,Female
179,Ігор,Шинкаренко,2005-07-15,90,9,3,Male
180,Остап,Гоголь-Яновський,1999-11-16,86,0,6,Male
181,Трохим,Саченко,2005-03-15,36,10,10,Male
182,Галина,Романчук,1994-11-05,24,0,4,Female
183,Єва,Худобʼяк,2007-07-17,89,8,2,Female
184,Ліза,Скирда,1995-09-28,68,10,2,Female
185,Аліна,Проценко,2001-08-18,58,0,6,Female
186,Ірена,Гайдабура,1995-09-30,5,10,2,Female
187,Теодор,Хорішко,1998-02-17,62,1,2,Male
188,Степан,Арсенич,2008-09-16,53,3,7,Male
189,Марина,Конопля,1997-12-23,61,1,5,Female
190,Алевтин,Вишняк,1993-03-28,30,6,9,Male
191,Василина,Макогон,2005-03-12,22,10,0,Female
192,Єфрем,Шамрай,2006-06-02,8,2,0,Male
193,Галина,Вівчаренко,2005-02-17,57,9,1,Female
194,Варвара,Голобородько,1995-02-07,22,0,9,Female
195,Віталій,Дробʼязко,2002-04-29,99,5,7,Male
196,Камілла,Дубина,1994-02-05,73,3,0,Female
197,Наталія,Ковалюк,2008-02-29,26,7,8,Female
198,Юстина,Матвієнко,2006-07-04,42,5,0,Female
199,Орина,Штепа,1996-09-13,63,4,7,Female
200,Тетяна,Шаповал,1995-06-18,41,7,2,Female
201,Христина,Ґжицький,1993-08-11,56,6,5,Female
202,Алевтин,Карпа,1999-02-16,71,6,7,Male
203,Тимофій,Цимбалюк,1995-12-27,77,4,3,Male
204,Софія,Кармалюк,2006-03-31,82,1,6,Female
205,Дан,Акуленко,1997-10-17,38,8,10,Male
206,Амалія,Гайдабура,2000-06-02,62,3,7,Female
207,Віра,Хорішко,2006-03-20,54,5,4,Female
208,Данна,Вовк,1997-01-18,39,5,0,Female
209,Венедикт,Вишняк,1993-12-17,70,6,0,Male
210,Одарка,Носенко,1996-09-19,14,9,3,Female
211,Володимир,Юрчук,1997-12-05,63,10,4,Male
212,Марко,Саченко,1998-10-31,84,1,10,Male
213,Альбіна,Базилевський,2003-06-21,50,7,1,Female
214,Левко,Ґоляш,2004-12-01,86,3,7,Male
215,Азар,Батюк,2004-05-24,83,5,6,Male
216,Оксана,Джус,1993-06-13,3,5,7,Female
217,Зиновій,Лагода,2002-09-04,49,4,7,Male
218,Анастасія,Рябовіл,1996-10-09,43,9,6,Female
219,Едуард,Затовканюк,1995-10-28,84,1,1,Male
220,Анастасія,Сірченко,1993-04-13,93,8,9,Female
221,Розалія,Андрієнко,2007-07-22,76,6,1,Female
222,Камілла,Палій,1996-11-26,84,1,1,Female
223,Юхим,Наливайко,1994-07-23,66,2,3,Male
224,Ліза,Копитко,1993-08-31,9,0,5,Female
225,Пантелеймон,Атрощенко,2005-12-15,91,8,0,Male
226,Алевтин,Козак,2001-09-29,24,5,6,Male
227,Тарас,Приходько,2006-04-25,70,2,6,Male
228,Григорій,Щириця,2006-09-23,7,1,8,Male
229,Юстина,Гаврюшенко,2000-09-08,84,5,6,Female
230,Валентина,Тичина,2004-06-14,55,10,4,Female
231,Яків,Савенко,2000-12-20,100,4,8,Male
232,Феофан,Сацюк,2007-01-25,59,8,4,Male
233,Аніта,Балабан,2007-10-17,85,10,5,Female
234,Аврелій,Асаула,2002-04-04,29,3,0,Male
235,Геннадій,Єсипенко,1997-03-02,56,9,5,Male
236,Розалія,Єсипенко,1993-09-11,71,8,4,Female
237,Алла,Цимбалюк,1995-09-12,79,1,2,Female
238,Святослава,Рябченко,1998-09-07,37,10,2,Female
239,Єлисавета,Джус,2000-08-07,32,4,10,Female
240,Амвросій,Овчаренко,2003-07-27,73,0,9,Male
241,Златослава,Ґерус,1999-02-06,37,2,2,Female
242,Роман,Тригуб,1996-03-21,16,7,1,Male
243,Лариса,Журавель,2005-12-28,49,3,0,Female
244,Варвара,Дробаха,1994-02-20,13,4,0,Female
245,Аніта,Андрейко,2000-02-23,50,7,4,Female
246,Варфоломій,Бандура,2005-07-08,100,4,10,Male
247,Трохим,Годунок,2007-01-28,42,4,4,Male
248,Сніжана,Колесниченко,2006-08-02,8,8,3,Female
249,Гордій,Івасюк,2000-08-30,15,7,2,Male
250,Валентина,Баранець,1996-11-28,50,5,6,Female
251,Дарина,Христич,1996-05-07,36,7,5,Female
252,Леопольд,Перепелиця,1994-09-07,97,3,1,Male
253,Світлана,Онуфрієнко,1994-06-02,41,5,4,Female
254,Венедикт,Запорожець,2000-02-21,20,8,9,Male
255,Єфрем,Комар,2006-08-10,87,10,4,Male
256,Марʼяна,Михайлюк,2004-02-23,33,4,9,Female
257,Володимир,Іваничук,1998-12-18,63,2,1,Male
258,Степан,Іваненко,2007-07-14,20,9,9,Male
259,Григорій,Гречаник,2006-02-03,47,2,0,Male
260,Вікторія,Данченко,2009-01-03,79,10,6,Female
261,Марія,Тичина,2003-12-26,89,1,7,Female
262,Адам,Мамчур,2000-03-29,17,6,5,Male
263,Лукʼян,Гречаник,2000-08-19,92,10,5,Male
264,Юстина,Яковенко,2001-01-01,7,2,10,Female
265,Ігор,Ярема,1997-03-20,29,0,7,Male
266,Пилип,Свистун,1998-09-17,16,3,0,Male
267,Едита,Артим,1999-12-25,55,0,2,Female
268,Вікторія,Ткач,2001-06-01,72,8,0,Female
269,Борислав,Аронець,2005-12-02,88,5,9,Male
270,Любов,Саченко,1998-06-29,74,1,3,Female
271,Маруся,Шило,2007-01-19,44,0,3,Female
272,Тимофій,Батуринець,2000-01-30,43,1,10,Male
273,Пріска,Забіла,2001-11-20,14,2,0,Female
274,Пилип,Вергун,2004-01-22,17,4,6,Male
275,Роман,Вернигора,2003-11-08,31,3,9,Male
276,Кирило,Назаренко,2003-03-12,71,10,1,Male
277,Марта,Вертипорох,2000-01-29,93,0,9,Female
278,Камілла,Царенко,2002-12-01,38,5,10,Female
279,Олена,Дробаха,2009-02-19,92,8,6,Female
280,Розалія,Засядько,2004-08-07,4,2,6,Female
281,Едуард,Дерегус,2003-12-02,17,5,6,Male
282,Любов,Прокопович,2007-05-17,83,2,9,Female
283,Руслан,Ярема,2007-03-18,28,0,5,Male
284,Йосип,Бабійчук,1995-01-11,5,0,4,Male
285,Марта,Абраменко,2009-01-19,39,8,1,Female
286,Валерій,Вергун,2005-01-12,88,1,0,Male
287,Альбіна,Журавель,2006-02-17,9,8,8,Female
288,Валентин,Козаченко,2008-07-03,63,9,4,Male
289,Еріка,Джус,1995-03-04,29,1,9,Female
290,Веніямин,Байда,2001-06-29,90,6,7,Male
291,Альбіна,Євдокименко,1999-12-18,75,2,3,Female
292,Валентин,Бакуменко,2005-08-28,37,5,8,Male
293,Олекса,Червоненко,1999-09-09,4,0,1,Male
294,Андрій,Лесик,2007-01-26,8,2,1,Male
295,Леонід,Харченко,1993-05-29,67,3,5,Male
296,Тимофій,Дурдинець,2008-12-30,45,7,1,Male
297,Павло,Проценко,2003-12-02,34,2,8,Male
298,Ярема,Єрмоленко,1997-04-26,71,7,9,Male
299,Володимира,Джус,2002-02-19,50,7,6,Female
300,Єва,Цюпа,2007-06-17,71,8,3,Female
301,Олекса,Семенченко,2008-05-07,37,1,7,Male
302,Ганна,Євтушенко,1995-04-18,93,7,0,Female
303,Аарон,Мірошниченко,2009-01-20,53,10,9,Male
304,Віра,Андрійчук,2003-10-13,36,3,9,Female
305,Данна,Баштан,1995-11-26,85,9,1,Female
306,Орися,Червоненко,2007-04-14,90,2,0,Female
307,Софія,Дрозд,2002-04-10,5,0,6,Female
308,Віра,Їжакевич,2008-11-08,54,5,0,Female
309,Ілля,Цісик,2003-11-27,77,8,2,Male
310,Павло,Вдовиченко,1999-05-24,65,6,6,Male
311,Ігор,Валенко,2007-10-17,15,9,0,Male
312,Орина,Бабій,1998-08-30,70,1,4,Female
313,Юстина,Кармалюк,2003-08-19,19,10,4,Female
314,Орина,Удовиченко,1999-11-30,69,5,2,Female
315,Камілла,Мазепа,1999-04-02,33,6,2,Female
316,Еріка,Скоробогатько,1998-02-19,47,9,4,Female
317,Олександр,Данильчук,1994-12-23,41,8,2,Male
318,Ярослава,Вакуленко,2008-01-06,15,7,10,Female
319,Остап,Бевз,2007-05-03,91,10,3,Male
320,Петро,Чумаченко,1999-04-29,70,6,9,Male
321,Єлисавета,Архипенко,1997-06-26,22,10,8,Female
322,Леон,Фастенко,1996-04-22,92,0,10,Male
323,Адам,Сірченко,2001-05-13,9,3,6,Male
324,Юстина,Карпенко,2003-02-14,53,0,4,Female
325,Миколай,Гупало,1996-11-22,35,2,6,Male
326,Ганна,Рудько,2006-05-07,47,4,5,Female
327,Марина,Рябовіл,2001-05-11,34,4,0,Female
328,Ірена,Гречаник,1996-03-03,26,2,10,Female
329,Марта,Андрієнко,1996-10-20,2,0,10,Female
330,Орися,Дубенко,2009-02-22,50,2,1,Female
331,Роман,Лемешко,2004-03-08,80,7,1,Male
332,Остап,Андріїшин,2004-09-09,2,1,9,Male
333,Марія,Чубай,1994-05-12,17,8,5,Female
334,Леон,Гавришкевич,2006-10-09,35,10,10,Male
335,Валентин,Рябовіл,2003-05-01,86,4,2,Male
336,Демид,Макаренко,1996-10-23,16,2,4,Male
337,Євген,Карпа,2007-08-18,16,10,7,Male
338,Варвара,Щириця,2003-10-09,91,8,8,Female
339,Теодор,Остапчук,2008-05-08,17,2,7,Male
340,Христина,Шведченко,2005-02-11,6,4,1,Female
341,Кирило,Сірко,2003-09-01,57,10,8,Male
342,Ярослава,Носаченко,2006-10-16,18,3,6,Female
343,Камілла,Демʼяненко,2008-07-10,51,8,9,Female
344,Єва,Пʼятаченко,1995-05-20,3,3,4,Female
345,Аліна,Харченко,1994-12-13,2,4,3,Female
346,Вадим,Артеменко,2008-11-22,27,0,10,Male
347,Соломія,Аверченко,2001-01-14,4,5,9,Female
348,Павло,Рева,2004-08-30,33,7,5,Male
349,Орина,Ковпак,2008-08-28,12,1,7,Female
350,Варвара,Заєць,2001-12-03,64,6,9,Female
351,Олександр,Червоненко,2003-12-20,39,3,0,Male
352,Прохір,Вакуленко,2008-05-21,37,4,1,Male
353,Мілена,Перебийніс,2004-08-30,15,4,4,Female
354,Тетяна,Пилипенко,2003-06-12,23,10,8,Female
355,Герман,Карпа,2005-04-18,87,3,5,Male
356,Аніта,Червоненко,1999-04-22,72,0,1,Female
357,Аліна,Носаченко,1997-05-29,60,7,6,Female
358,Юстим,Заруба,1998-08-07,54,10,0,Male
359,Левко,Вдовиченко,2002-04-28,68,4,9,Male
360,Дарина,Шморгун,1995-01-26,80,9,4,Female
361,Олена,Сімашкевич,1995-03-23,60,5,7,Female
362,Владислав,Бабко,1995-11-25,55,1,10,Male
363,Наталія,Чубай,1996-04-20,41,0,1,Female
364,Наталія,Шиян,1994-12-27,37,1,10,Female
365,Петро,Ковалюк,1996-02-20,73,4,7,Male
366,Богданна,Редько,2006-01-08,13,2,2,Female
367,Павло,Байдак,2007-01-25,88,2,0,Male
368,Михайло,Лупій,2006-06-20,34,6,4,Male
369,Святослава,Пелех,1995-03-16,100,7,2,Female
370,Віра,Шаблій,2003-05-10,67,9,6,Female
371,Варфоломій,Затула,2002-07-23,86,5,9,Male
372,Любов,Швайка,2004-04-15,34,8,9,Female
373,Леопольд,Гайдамака,2006-01-24,47,3,1,Male
374,Лукʼян,Яремко,2007-12-13,1,3,3,Male
375,Данна,Ісаєвич,2004-12-10,65,8,3,Female
376,Климент,Шамрай,2006-04-22,74,1,1,Male
377,Охрім,Байрак,2000-06-22,42,2,6,Male
378,Пилип,Колодуб,2005-12-21,75,8,0,Male
379,Пилип,Байрак,1999-04-22,39,6,1,Male
380,Юстина,Данько,1999-12-09,97,3,8,Female
381,Ірена,Василечко,1998-03-25,76,8,6,Female
382,Устим,Гоголь-Яновський,1994-05-29,71,3,7,Male
383,Тимофій,Оліфіренко,2006-08-20,21,1,1,Male
384,Наталія,Товстуха,2007-09-23,68,3,0,Female
385,Дарина,Рудько,1999-05-08,83,3,6,Female
386,Аврелій,Титаренко,1998-08-24,18,4,2,Male
387,Марта,Бабійчук,2003-11-21,85,10,6,Female
388,Пріска,Романчук,1994-02-17,90,0,6,Female
389,Прохір,Стець,1999-12-13,71,7,3,Male
390,Андрій,Проценко,2007-01-03,56,7,7,Male
391,Костянтин,Дуплій,1995-09-24,41,1,5,Male
392,Михайло,Вакуленко,2002-02-03,66,1,5,Male
393,Маруся,Деревʼянко,2001-04-12,47,4,7,Female
394,Єлисей,Рябченко,1993-07-07,39,0,3,Male
395,Надія,Адамчук,2005-09-20,25,4,3,Female
396,Мілена,Ґалаґан,2007-05-15,58,5,5,Female
397,Клавдія,Запорожець,1999-12-08,79,5,2,Female
398,Тереза,Чуйко,1997-03-07,15,5,4,Female
399,Демид,Теличенко,2007-08-16,4,8,3,Male
400,Аврелій,Авраменко,1996-07-12,9,6,8,Male
401,Ярослава,Шинкаренко,2007-03-04,43,10,7,Female
402,Євген,Яремків,2004-03-29,69,0,2,Male
403,Кирило,Яценко,1993-10-19,41,7,0,Male
404,Гаврило,Тимченко,2004-06-27,61,0,7,Male
405,Амвросій,Байда,2001-09-27,10,8,6,Male
406,Альбіна,Цибуленко,2007-12-10,75,8,0,Female
407,Ігор,Малик,2006-10-20,34,1,3,Male
408,Вікторія,Журавель,1996-03-08,11,5,7,Female
409,Степан,Короленко,1995-10-13,68,3,2,Male
410,Камілла,Сірко,2004-09-18,64,6,4,Female
411,Хома,Малик,2003-03-14,45,1,9,Male
412,Ольга,Демʼянюк,2006-12-18,68,9,3,Female
413,Лесь,Ємець,2004-10-12,74,9,9,Male
414,Марʼяна,Дахно,2008-03-23,13,4,7,Female
415,Максим,Опанасенко,1997-12-13,77,3,9,Male
416,Ганна,Назаренко,2002-06-23,92,8,10,Female
417,Михайлина,Дубина,2003-07-02,84,6,3,Female
418,Ярослава,Данченко,1998-11-29,13,3,5,Female
419,Ірена,Ґжицький,2001-06-17,49,7,1,Female
420,Вікторія,Оніщук,2007-01-27,90,9,3,Female
421,Онисим,Петрик,2007-09-09,13,10,8,Male
422,Орина,Петрик,2000-12-28,96,10,8,Female
423,Венедикт,Сацюк,1996-05-07,47,9,5,Male
424,Михайлина,Чалий,2005-08-29,8,1,3,Female
425,Наталія,Шведченко,2004-03-11,55,7,9,Female
426,Ярина,Іваничук,2000-04-27,53,10,6,Female
427,Христина,Єрьоменко,2004-02-01,20,5,8,Female
428,Орина,Заруба,2001-09-20,14,6,1,Female
429,Демид,Ткаченко,2005-05-24,81,2,10,Male
430,Віолетта,Шамрай,2003-02-24,17,2,6,Female
431,Соломія,Даниленко,2003-05-06,15,9,9,Female
432,Еріка,Аверченко,2005-02-28,82,5,9,Female
433,Віктор,Тичина,1995-04-19,11,2,2,Male
434,Анжела,Скоробогатько,1999-10-15,32,0,3,Female
435,Симон,Демʼяненко,2002-08-29,78,0,2,Male
436,Ярослава,Терещук,1995-09-16,98,8,9,Female
437,Олександр,Безбородьки,1994-01-18,80,9,5,Male
438,Богданна,Ніколюк,2005-03-25,64,0,3,Female
439,Геннадій,Скоробогатько,1998-10-16,97,10,5,Male
440,Наталія,Андріїшин,2002-01-08,10,1,4,Female
441,Ярослава,Єрьоменко,2004-02-10,7,9,5,Female
442,Тереза,Шухевич,2000-12-23,46,2,4,Female
443,Олена,Данилюк,1997-03-03,94,2,6,Female
444,Ганна,Дубина,2007-07-16,91,9,5,Female
445,Азар,Артюх,1999-11-20,62,5,1,Male
446,Едита,Притула,2001-05-12,19,9,6,Female
447,Варфоломій,Дацюк,2006-02-01,93,8,5,Male
448,Альбіна,Ейбоженко,2005-07-12,51,6,2,Female
449,Володимира,Артюх,1996-02-21,56,0,3,Female
450,Еріка,Гаврюшенко,2001-08-11,27,2,8,Female
451,Святослав,Ященко,1998-04-15,83,6,3,Male
452,Лілія,Дейнека,1995-05-07,36,8,0,Female
453,Сергій,Хоменко,1997-12-23,57,1,9,Male
454,Альбіна,Сагаль,2003-12-27,84,1,2,Female
455,Софія,Величко,2000-02-10,10,0,10,Female
456,Ада,Пушкар,2003-12-21,9,4,3,Female
457,Герман,Вакарчук,2009-01-19,100,10,5,Male
458,Богодар,Арсенич,2005-05-14,56,0,4,Male
459,Олександр,Нестеренко,2004-03-30,2,7,2,Male
460,Алла,Єфименко,2006-08-16,56,2,2,Female
461,Борис,Щербань,2004-01-11,13,10,4,Male
462,Ганна,Тичина,2002-10-27,66,5,1,Female
463,Адам,Жадан,2007-12-17,4,6,7,Male
464,Марія,Бабич,1997-12-10,97,8,5,Female
465,Єлисей,Петлюра,1999-08-01,45,1,0,Male
466,Остап,Онуфрієнко,2003-06-06,60,8,9,Male
467,Алевтин,Артюх,2008-01-06,23,9,10,Male
468,Тереза,Каденюк,2007-12-11,56,6,7,Female
469,Розалія,Бабич,2002-10-27,18,7,10,Female
470,Панас,Базавлученко,2003-12-20,77,2,1,Male
471,Пріска,Алексеєнко,2007-08-15,27,3,2,Female
472,Оксенія,Худяк,2008-08-14,51,4,8,Female
473,Ярослав,Величко,2001-08-24,35,0,7,Male
474,Спас,Ватаманюк,2007-08-01,7,10,1,Male
475,Юстим,Щербак,2003-04-13,79,1,10,Male
476,Дарина,Носаченко,2009-03-10,5,8,4,Female
477,Ярина,Архипенко,2008-02-23,31,7,0,Female
478,Анжела,Гайдай,2002-07-21,17,4,7,Female
479,Вікторія,Лукаш,1997-03-13,19,2,9,Female
480,Амалія,Овчаренко,2002-01-02,94,3,10,Female
481,Альбіна,Єсипенко,2000-10-08,27,9,2,Female
