id,first_name,last_name,birth_date,average_mark,count_of_lessons_absent,count_of_lessons_sick,gender,city
86,Pauline,Lévy,1994-02-18,45,3,0,Female,Pires
87,Sophie,Lopes,1998-04-05,14,9,6,Female,Reynaud-sur-Maillard
88,Gabriel,Robert,2007-11-11,51,7,0,Male,GiraudBourg
89,Bernard,Morin,1995-11-01,23,3,2,Male,Saint David-sur-Mer
90,René,Breton,2001-12-23,54,5,2,Male,Guillou
91,Monique,Fontaine,2002-02-28,21,4,1,Female,Maurice
92,Gilles,Legendre,2002-08-23,9,4,4,Male,Mathieu
93,Victoire,Gilles,1999-12-28,22,4,2,Female,Gonzaleznec
94,Georges,Dias,2004-04-11,68,5,3,Male,Perret-la-Forêt
95,Thibault,Louis,2001-11-30,76,7,1,Male,Loiseau-sur-Mer
96,Julie,Maillard,2000-06-08,38,10,0,Female,Sainte Denise
97,Jeannine,Descamps,2001-12-18,23,2,1,Female,Nicolasboeuf
98,Marianne,Lacombe,1995-03-24,83,9,4,Female,Adam
99,Lorraine,Ferreira,2003-01-06,89,1,0,Female,Ledoux
100,Frédéric,Berthelot,2001-09-23,34,7,6,Male,Moreau
101,Éric,Lejeune,2001-07-13,60,1,0,Male,Perezdan
102,Pénélope,Marchand,1993-09-14,89,3,3,Female,Boulay-sur-Mer
103,Édouard,Dos Santos,2001-01-29,86,5,0,Male,Legendre-la-Forêt
104,Benjamin,Lombard,2002-09-13,92,2,1,Male,Normandnec
105,Nath,Blanc,2004-08-24,60,1,0,Female,Sainte Eugène
106,Grégoire,Blanchet,1999-11-07,16,8,8,Male,Sainte Cécileboeuf
107,Benjamin,Brun,2002-04-28,88,1,1,Male,Guyot
108,Roland,Gomez,2003-01-25,66,4,4,Male,Saint Benoît
109,Cécile,Dupré,1994-07-15,1,0,0,Female,Saint JeannineVille
110,François,Martin,2008-05-16,26,5,3,Male,Sainte Marine-les-Bains
111,Diane,François,1999-01-13,72,1,1,Female,Pascal
112,Lorraine,Hoarau,1994-01-07,21,9,9,Female,Guyon
113,Susanne,Devaux,2006-11-29,100,3,3,Female,Bousquet
114,Tristan,Rey,2008-02-27,82,7,5,Male,Hebert-sur-Lebreton
115,Susan,Blondel,2005-10-31,37,5,1,Female,Ollivier
116,Roland,Andre,2002-12-01,11,3,1,Male,Saint Matthieu
117,Mathilde,Weiss,2003-03-13,57,2,2,Female,Regnier-sur-Mer
118,Zoé,Baron,1999-12-04,96,7,1,Female,Teixeira
119,Émile,Masson,2008-05-29,8,9,7,Male,BlotBourg
120,Pauline,Faure,1998-04-05,93,1,0,Female,Pascal
121,Sabine,Fleury,1994-11-30,5,3,1,Female,Saint Jeannine
122,Thibault,Meunier,1993-05-06,13,4,1,Male,Duhamel
123,Xavier,Langlois,1997-08-16,76,5,1,Male,Peron
124,Adrienne,Antoine,2008-07-08,93,2,1,Female,FontaineVille
125,Catherine,Boucher,1996-08-06,88,5,2,Female,Saint Diane-sur-Mer
126,Jean,Aubert,1999-09-22,48,2,0,Male,Saint Henriette-sur-Mer
127,Alexandre,Clément,1995-11-22,93,6,0,Male,Hernandeznec
128,Émile,Lejeune,2006-12-28,56,5,1,Male,Pascal
129,Anouk,Raymond,1995-05-24,92,6,6,Female,Léger-sur-Pages
130,Capucine,Muller,1994-02-08,34,2,2,Female,Raymond-sur-Teixeira
131,Gabriel,Guillet,1994-05-09,39,3,0,Male,Chauvet-sur-Muller
132,Xavier,Lenoir,2006-11-06,95,0,0,Male,Joseph
133,Suzanne,Bernier,2004-08-16,31,5,1,Female,Valletboeuf
134,Vincent,Gautier,1994-11-19,38,6,4,Male,Saint Adélaïde
135,Yves,Lecoq,1993-08-01,34,3,3,Male,Weiss-sur-Maillard
136,Philippine,Laroche,2008-05-01,44,2,2,Female,Michaud
137,Nath,Cohen,1993-07-05,17,10,6,Female,Benard-sur-Lecomte
138,Claudine,Mendès,2003-03-11,15,3,3,Female,Chauvetboeuf
139,Sylvie,Gomez,2003-02-15,96,4,2,Female,Langlois-la-Forêt
140,Élodie,Breton,1995-10-02,2,1,0,Female,Sainte Yves
141,Jean,De Sousa,2001-08-22,55,7,4,Male,Jacques
142,Émile,Guichard,1995-04-14,52,9,3,Male,Renardnec
143,Grégoire,Martins,1998-01-06,68,1,0,Male,Raynaud-la-Forêt
144,Pauline,Lacombe,2007-05-05,73,10,7,Female,Imbert
145,Bertrand,Samson,1997-11-19,33,2,2,Male,Beckerdan
146,Guillaume,Lopez,2008-10-07,11,5,0,Male,Marin-sur-Mer
147,Claude,Moreno,1998-07-18,70,1,0,Female,Sainte Hortense
148,Geneviève,Riou,2006-07-17,87,6,6,Female,Saint Susandan
149,Honoré,Picard,1996-07-04,72,8,7,Male,Chauvin
150,Aimée,Hernandez,1994-09-19,34,1,1,Female,Texier-sur-Carpentier
151,Maurice,Jacquet,1994-12-17,81,10,0,Male,Jean
152,Hortense,Jean,1996-07-30,47,4,4,Female,Blot-la-Forêt
153,Hugues,Raynaud,2005-12-21,76,8,2,Male,LeclercqBourg
154,Thibault,Normand,2006-03-04,69,4,2,Male,Maillot
155,Grégoire,Aubert,2004-05-06,32,8,6,Male,Goncalves
156,Christelle,Lebon,1999-01-26,70,6,4,Female,Legrand
157,Laurence,Gaillard,1993-07-20,39,2,0,Female,Barbeboeuf
158,Manon,Lecoq,2001-06-05,60,1,0,Female,Le Gallboeuf
159,Pauline,Martinez,1998-09-07,88,8,1,Female,MaréchalBourg
160,Céline,Moulin,1993-12-18,62,1,0,Female,Bonninnec
161,Anastasie,De Oliveira,1993-12-08,35,2,1,Female,Monnier
162,Xavier,Launay,2003-08-29,53,9,4,Male,Perez-sur-Clément
163,Augustin,Rivière,2004-11-08,53,3,0,Male,Hernandez
164,Françoise,Evrard,2002-06-04,72,9,7,Female,Briand
165,Stéphanie,Humbert,2003-09-01,91,8,0,Female,Julien-sur-Bertin
166,Georges,Charpentier,2002-10-12,74,3,2,Male,Bouchet
167,Gilbert,Clément,2007-12-20,38,8,6,Male,Picard-sur-Lacombe
168,Catherine,Boulanger,2000-05-07,77,2,2,Female,Sauvage
169,Éric,Blot,2007-07-07,58,4,0,Male,Ferreira
170,Élise,Roy,1997-09-27,11,4,2,Female,Ribeiro
171,Édouard,Meyer,1996-09-03,86,9,7,Male,Fischer
172,Thomas,Marty,1999-07-02,40,0,0,Male,JoubertBourg
173,Alexandre,Bigot,2005-03-29,86,1,0,Male,Didierdan
174,Jules,Cousin,1999-01-20,13,1,1,Male,Collet
175,Denis,Peron,2008-05-17,74,8,2,Male,Garnier
176,Agnès,Toussaint,2000-07-22,64,4,2,Female,Weiss
177,Margaux,Paul,1994-03-01,74,7,5,Female,Leclercq
178,Luc,Delannoy,2006-12-07,46,10,1,Male,Saint Margaret
179,Marie,Rousset,2006-01-11,3,7,4,Female,DelormeBourg
180,Richard,Olivier,1997-10-08,35,5,5,Male,Saint Martin-la-Forêt
181,Sabine,Barthelemy,2002-01-19,3,3,3,Female,Riou-sur-Menard
182,Éric,Aubert,1993-08-06,2,7,7,Male,Saint XavierBourg
183,Maurice,Navarro,2006-09-07,62,1,1,Male,Sainte JoséphineVille
184,Laurence,Martinez,1994-08-04,15,2,1,Female,Petit
185,Paulette,Costa,1994-09-05,85,0,0,Female,Boyer-sur-Parent
186,Georges,Hebert,2006-06-25,8,8,5,Male,Gay
187,Thomas,Caron,1999-04-23,89,2,2,Male,Sainte Augustin
188,Georges,Berthelot,2005-01-19,44,7,0,Male,Leblancdan
189,Pauline,Leroux,2005-11-19,40,0,0,Female,BlondelBourg
190,Étienne,Vidal,2003-10-20,10,4,4,Male,Techer
191,Marthe,Diallo,1997-06-18,32,4,2,Female,Dumont-sur-Normand
192,Gabrielle,Daniel,2002-11-10,48,5,3,Female,Bourgeois
193,Mathilde,Maillot,1998-06-10,40,3,2,Female,Bodin
194,Corinne,Blanchet,1996-04-22,65,10,3,Female,Payet
195,Isaac,Berger,2006-04-10,77,2,0,Male,Guillon
196,Nicolas,Nicolas,2004-05-28,29,6,2,Male,Daniel
197,Noémi,Ferreira,1996-12-08,49,9,9,Female,Tanguyboeuf
198,François,Leclerc,1993-07-11,50,2,2,Male,Vasseur
199,Auguste,Leroy,1997-04-26,81,8,2,Male,Gauthier
200,Christine,Schneider,2000-02-12,49,5,0,Female,Boucher-sur-Pascal
201,Charles,Bonnin,1999-11-26,79,4,3,Male,Foucher
202,François,Mathieu,2006-12-12,43,7,4,Male,Sainte Paulette
203,Robert,Morel,1993-08-10,92,7,1,Male,Bourgeois-sur-Mer
204,Xavier,Potier,1994-04-25,4,4,2,Male,Chauvin-les-Bains
205,Thomas,Delorme,1994-07-16,28,8,8,Male,Sanchez
206,Louise,Turpin,1994-05-29,92,9,7,Female,Sainte LucyVille
207,Juliette,Gay,2007-09-26,7,1,1,Female,Renaud-sur-David
208,Michel,Reynaud,2006-02-13,69,6,3,Male,Marin-sur-Lacroix
209,Matthieu,Legendre,2005-08-06,36,4,0,Male,Sainte Émilie
210,Auguste,Thierry,1997-10-09,56,10,5,Male,Bouchet
211,Anastasie,Guyon,2004-06-02,96,1,1,Female,Leclerc-les-Bains
212,Marianne,Martins,2006-08-06,32,2,2,Female,Normand
213,Louise,Guillon,1996-09-17,28,4,0,Female,Martineau-la-Forêt
214,Raymond,Baron,2005-02-27,33,9,6,Male,Sainte Manonnec
215,Thibaut,Labbé,2009-01-20,92,0,0,Male,Saint Luc
216,Lorraine,Hoarau,2008-06-26,94,9,2,Female,Gros
217,Clémence,Mendès,1996-10-06,8,0,0,Female,Gomes
218,Robert,Martin,1995-05-16,58,8,6,Male,Clément-sur-Mer
219,Aimée,Giraud,1997-12-13,82,10,4,Female,Benard
220,Christiane,Reynaud,1993-11-07,15,6,2,Female,Normand-les-Bains
221,Alexandrie,Muller,2004-01-24,50,7,4,Female,Clerc
222,Michelle,Sauvage,2006-05-01,38,10,10,Female,Wagner
223,Hortense,Hubert,1999-02-08,34,6,1,Female,Morin-sur-Hoareau
224,Charlotte,Cohen,1995-08-04,34,3,1,Female,Vincent-sur-Bruneau
225,Roland,Jourdan,2004-02-18,85,7,7,Male,Sainte Marguerite
226,Michel,Gimenez,1998-11-29,4,10,2,Male,Moulin
227,Maggie,Fontaine,1994-04-13,70,8,3,Female,Saint Arnaude
228,Audrey,Bouchet,2000-06-05,75,2,0,Female,Lebrun-sur-Bazin
229,Tristan,Noël,2001-05-26,70,10,3,Male,Carlier
230,Claire,Camus,1993-12-28,14,5,4,Female,Saint Maryse-sur-Mer
231,Charles,Berthelot,1999-12-13,24,10,2,Male,Bodin
232,Paul,Evrard,2007-02-08,70,5,1,Male,Leclerc
233,Alphonse,Picard,1994-02-28,16,3,2,Male,Marchand-la-Forêt
234,Laurence,Auger,1997-12-02,37,9,4,Female,Durand
235,Claude,Blanc,1995-05-03,39,3,3,Female,Le Goff
236,Denis,Bonnin,1998-12-07,95,6,1,Male,Evrard
237,Georges,Schmitt,1996-02-19,94,0,0,Male,Launay
238,Margaux,Hoareau,1996-03-16,30,6,1,Female,Goncalves-sur-Perrot
239,Alexandrie,Gautier,2002-01-21,33,7,3,Female,Teixeira
240,Bertrand,Morin,1995-03-02,2,7,4,Male,Saint Michèle
241,Anouk,Bourgeois,2008-06-18,59,3,2,Female,Maréchal
242,Emmanuel,Fouquet,1993-12-26,38,9,7,Male,Barbe-sur-Mer
243,Julie,Andre,2006-06-12,6,10,3,Female,Saint ArthurBourg
244,Agathe,Chrétien,2003-09-06,9,9,6,Female,Godard
245,Denise,Letellier,2000-11-06,93,9,5,Female,JacquotBourg
246,Agnès,Leclercq,1997-12-16,58,4,4,Female,De Sousa-sur-Lambert
247,François,Leduc,2006-01-26,20,5,3,Male,Saint Gilbertnec
248,Jérôme,Germain,1993-08-08,76,4,3,Male,Vaillant-sur-Gillet
249,Monique,Regnier,1993-03-18,23,7,3,Female,Lefebvre-les-Bains
250,Aimé,Fouquet,1999-06-11,38,10,10,Male,Raymond-sur-Nicolas
251,Richard,Bruneau,1997-07-28,48,4,3,Male,Sainte ÉmilieVille
252,Laurent,Texier,2007-08-25,94,2,0,Male,Bouvet
253,Roland,Hoarau,1998-03-27,76,2,0,Male,Saint Benjamin-sur-Mer
254,Jean,Charles,2004-06-11,33,1,0,Male,Étienne-sur-Mer
255,Suzanne,Reynaud,1995-08-21,19,0,0,Female,Cousin-sur-Martin
256,Nathalie,Mahe,2001-12-31,5,7,6,Female,Sainte Luc-les-Bains
257,Philippe,Camus,1993-06-19,33,2,2,Male,Sainte MargotVille
258,Laurent,Rémy,1995-06-07,20,8,5,Male,Barre-la-Forêt
259,Élise,Albert,2006-01-05,19,10,5,Female,Sainte René-la-Forêt
260,Philippe,Millet,1997-02-25,39,9,8,Male,Barbiernec
261,Luce,Blanc,1993-05-25,64,7,3,Female,Boyer-la-Forêt
262,Corinne,Benoit,1999-01-26,54,9,9,Female,Hubert
263,Honoré,Tessier,2002-03-30,100,1,0,Male,Da Costanec
264,Aurélie,Nguyen,2006-01-19,35,0,0,Female,Dupuyboeuf
265,Laure,Denis,1999-01-23,55,5,1,Female,Vaillant
266,Benoît,Delaunay,2008-07-11,11,6,0,Male,Schmitt-les-Bains
267,Virginie,Renard,2000-10-20,41,2,0,Female,Da Costa
268,Adélaïde,Bègue,2004-07-02,86,9,6,Female,De Sousa-sur-Mer
269,Michel,Mercier,1999-12-26,76,1,1,Male,Sainte Adrien
270,Virginie,Lopez,2005-06-27,31,5,0,Female,Maury-sur-Vallée
271,Eugène,Maillard,2005-11-04,88,4,1,Male,Chevalier
272,Sébastien,Leconte,1998-10-30,1,9,7,Male,Sainte Julien
273,Aimé,Marty,2007-04-14,81,7,5,Male,Lebrun
274,Éric,Louis,2005-09-06,4,5,4,Male,Lecoq
275,Hugues,Pottier,2004-10-13,62,2,0,Male,Julien
276,Charles,Lemaire,1998-04-18,86,6,1,Male,Mary
277,Hélène,Leclercq,2000-09-01,6,9,5,Female,Bertrand-les-Bains
278,Gérard,Salmon,1998-03-29,44,6,1,Male,Meyerboeuf
279,Anastasie,Wagner,1998-06-14,17,10,1,Female,Giraud
280,Victor,Camus,2009-01-26,20,4,4,Male,Saint Josephnec
281,Marie,Daniel,1999-02-03,30,0,0,Female,Ribeirodan
282,Zacharie,Marin,1996-05-21,85,2,0,Male,Saint Jeanninedan
283,Raymond,Roy,1999-11-10,72,6,4,Male,Nguyen
284,Hortense,Mathieu,2008-12-30,44,5,0,Female,Dias
285,Charles,Petit,2000-04-21,37,10,10,Male,Guillon-la-Forêt
286,Thierry,Weber,1999-08-23,15,1,1,Male,HubertBourg
287,Eugène,Bruneau,2000-09-16,47,8,5,Male,Ollivier
288,Josette,Valette,2000-02-13,28,4,4,Female,Saint Martheboeuf
289,Sabine,Tessier,1995-07-12,73,7,3,Female,Marin
290,Laurence,Joseph,1993-04-20,98,3,2,Female,Loiseau-sur-Étienne
291,Jules,Moreau,1997-04-15,73,7,7,Male,Blanc
292,Lorraine,Hamon,1995-10-22,61,5,4,Female,Malletboeuf
293,Julien,Guillou,2008-06-13,33,8,7,Male,Roche-les-Bains
294,Astrid,Briand,2004-01-30,40,2,1,Female,Courtois
295,Jean,Lacroix,1995-03-22,29,2,0,Male,Renaud
296,Adrienne,Mercier,2003-12-13,64,1,0,Female,Boyernec
297,Brigitte,Hervé,1993-11-01,54,9,3,Female,Carpentier
298,François,Legros,1999-09-22,28,10,10,Male,Tanguy-sur-Ferrand
299,Luce,Hardy,2004-11-19,14,10,2,Female,Henry
300,Émilie,Simon,1997-09-05,84,7,1,Female,Garcia
301,Robert,Bodin,1997-05-01,67,2,1,Male,Bigot
302,Margaux,Parent,1993-10-06,6,5,2,Female,Parentdan
303,Anne,Petit,2007-03-10,79,5,3,Female,Clerc
304,Stéphanie,Delattre,2001-03-19,64,8,8,Female,Saint Henriette
305,Alexandria,Labbé,2002-08-15,43,5,4,Female,WeissBourg
306,Victor,Delahaye,2006-02-13,60,5,0,Male,Saint Jacqueline
307,Victoire,Joubert,2003-01-19,99,2,0,Female,Guilbert
308,Anne,Jacques,1997-10-15,41,10,8,Female,BretonBourg
309,Tristan,Ollivier,1999-09-17,32,6,2,Male,Vasseur
310,Constance,Guillaume,1998-04-12,46,2,0,Female,MarieVille
311,Aurélie,Jourdan,2002-11-07,32,3,2,Female,Duprédan
312,Maggie,Garnier,2000-06-10,2,1,0,Female,Menard-sur-Cousin
313,Aurore,Potier,2001-02-18,20,7,7,Female,Fernandez-sur-Barthelemy
314,Luce,Garnier,2009-01-26,86,8,3,Female,Saint Diane
315,Amélie,Blanchet,2008-10-02,82,5,5,Female,Faure
316,Manon,Payet,2000-02-19,4,10,4,Female,Étienne-sur-Mer
317,Anne,Boyer,2000-09-07,60,8,2,Female,Rivièrenec
318,Caroline,Dubois,2008-06-02,42,4,0,Female,PierreBourg
319,Simone,Imbert,1999-11-13,16,10,1,Female,Sainte Lorraine-la-Forêt
320,Agathe,Bernier,2005-04-03,73,5,1,Female,Dubois
321,Éléonore,Durand,1995-01-31,81,8,2,Female,Voisin
322,Nicole,Maury,2002-06-22,43,2,2,Female,Aubert
323,Alain,Peron,1993-06-17,65,3,3,Male,Legendre
324,Jacqueline,Blanchet,2008-01-05,18,5,2,Female,Lévêque
325,Julien,Charpentier,1998-07-19,20,4,4,Male,Sainte Alice
326,Gabriel,Rossi,1998-08-12,9,7,5,Male,Moreau-la-Forêt
327,Noël,Hernandez,2000-11-02,1,9,1,Male,Saint HélèneBourg
328,Xavier,Bonnin,2007-12-01,59,8,7,Male,Aubertboeuf
329,Michelle,Mahe,1994-11-17,59,0,0,Female,Sainte Camille
330,Joseph,Bernier,2003-08-07,10,1,0,Male,Labbé
331,Xavier,Pereira,2006-07-05,58,4,4,Male,Martineau
332,Thibaut,Gallet,2003-12-11,58,10,9,Male,Saint Susan-sur-Mer
333,Christophe,Buisson,1993-09-24,69,9,2,Male,Pottier
334,Jeanne,Delorme,1999-11-24,45,3,1,Female,Sainte Luc
335,Gabrielle,Laine,2005-10-28,78,7,7,Female,MarchalVille
336,Laetitia,Martins,2002-03-17,83,10,3,Female,Sainte Rémy-sur-Mer
337,Manon,Marchal,2006-01-31,58,7,1,Female,Diaz-sur-Mer
338,Éléonore,Lefèvre,2000-10-24,40,10,3,Female,Voisin
339,André,Coulon,2001-04-23,2,1,0,Male,MenardBourg
340,Nicolas,Klein,2007-05-02,53,10,8,Male,Guillotnec
341,Thierry,Gérard,2003-12-28,74,1,1,Male,Roche-sur-Wagner
342,Martin,Lecomte,2002-02-26,85,4,4,Male,LambertVille
343,Lorraine,Lefebvre,1994-11-28,49,2,1,Female,Millet
344,Audrey,Letellier,2005-10-23,84,9,7,Female,Sainte Françoise
345,Valentine,Joly,2001-11-02,63,7,6,Female,Bruneau-les-Bains
346,Claire,Lenoir,2006-12-20,30,2,0,Female,RocherVille
347,Camille,Lucas,1999-06-16,2,2,2,Female,Martelboeuf
348,Alexandrie,Grondin,2003-10-12,10,1,1,Female,Dubois-les-Bains
349,Catherine,François,1996-09-27,94,3,1,Female,Jacques
350,Paul,Leblanc,1996-12-28,99,3,2,Male,Munoz-sur-Mer
351,Bernard,Moulin,2003-02-10,54,7,0,Male,Bonnet
352,Gabriel,Brunet,1994-08-06,36,3,3,Male,Perrierdan
353,Clémence,Bertrand,2000-07-03,14,7,4,Female,Sainte Martinnec
354,Thibaut,Laine,2008-01-14,51,9,1,Male,Louis
355,Patrick,Bigot,1996-06-23,79,1,0,Male,Girard
356,Astrid,Rodriguez,1995-06-22,81,0,0,Female,Chartier
357,Isabelle,Turpin,2000-10-04,64,0,0,Female,Fernandez
358,Georges,Riou,1997-10-01,87,3,3,Male,Imbert
359,Lucas,Maillet,2007-01-24,23,9,4,Male,Brunel
360,Véronique,Devaux,2001-04-06,57,6,0,Female,Breton
361,Cécile,Launay,1997-06-06,78,10,7,Female,Lefèvrenec
362,Bertrand,Da Costa,1999-07-22,85,9,6,Male,Saint William-sur-Mer
363,Rémy,Fernandes,1993-05-16,72,7,7,Male,Andre
364,Philippine,Godard,2005-08-16,49,9,8,Female,Descamps
365,Jacqueline,Regnier,2004-07-21,97,7,2,Female,Le Goffdan
366,Benjamin,Bruneau,2006-03-30,1,0,0,Male,Sainte Manon
367,Charles,Lacroix,2006-05-21,20,6,2,Male,Albert-sur-Valentin
368,Jean,Jourdan,2004-09-01,42,2,0,Male,Gay
369,Anne,Prévost,1997-06-11,75,4,1,Female,Sainte Claire
370,Agnès,Peron,2003-08-01,78,7,0,Female,Masson-sur-Vallée
371,Laurence,Evrard,2008-11-06,68,2,1,Female,NeveuBourg
372,Antoine,Huet,2003-10-01,48,8,4,Male,Sainte MargaretBourg
373,Marianne,Barre,1997-06-02,28,4,2,Female,LecomteVille
374,Aurélie,Neveu,2006-10-28,43,2,0,Female,Saint Anouk
375,Paul,Neveu,2004-03-06,38,6,1,Male,Collet-sur-Auger
376,Thibault,Salmon,2003-07-27,17,6,4,Male,GomesBourg
377,Raymond,Dijoux,2003-03-14,72,5,1,Male,Renaultboeuf
378,Margot,Jean,2007-01-29,63,8,7,Female,Sainte Carolineboeuf
379,Marc,Roux,1997-08-15,65,4,1,Male,Saint Antoine-la-Forêt
380,Georges,Meyer,2001-07-09,88,8,1,Male,Voisin-sur-Guyot
381,Olivier,Lemoine,2002-05-27,45,7,6,Male,Guillet
382,William,Mary,2000-09-25,27,1,1,Male,Mercier
383,Hélène,Vasseur,1995-11-13,65,8,0,Female,Bouvier
384,Michel,Guyon,2002-01-25,92,1,1,Male,Thierry
