id,first_name,last_name,birth_date,average_mark,count_of_lessons_absent,count_of_lessons_sick,gender,city,age
280,Алла,Бездітко,2004-10-16,40.0,0,0,Female,Баранівка,19.3612379216491
281,Аніта,Масляк,1995-10-24,56.0,6,3,Female,Гірник ,28.347539291512113
286,Камілла,Акименко,1997-02-10,4.0,7,0,Female,Ужгород,27.046169428498416
288,Альбіна,Авдєєнко,2004-06-08,28.0,1,0,Female,Стрий,19.717402305210744
289,Любов,Ващук,2005-10-30,34.0,2,1,Female,Родинське,18.322881757265538
293,Клавдія,Яремків,1995-12-07,3.0,0,0,Female,Любомль,28.226991346306633
296,Тетяна,Гайворонський,1998-08-01,27.0,5,0,Female,Шпола,25.574936551786084
298,Віолетта,Москаль,2007-12-07,86.0,4,0,Female,Липовець,16.218772168224444
300,Оксана,Джунь,2003-05-08,21.0,0,0,Female,Валки ,20.805073538087456
301,Марта,Височан,1997-04-29,59.0,7,3,Female,Знам'янка,26.832470798361427
302,Клавдія,Козак,1997-05-14,92.0,0,0,Female,Рава-Руська,26.79137490795047
303,Христина,Вдовенко,1996-01-17,26.0,4,2,Female,Гнівань,28.114662579183346
304,Марина,Архимович,2003-12-24,25.0,8,4,Female,Прилуки,20.174936551786086
307,Сніжана,Андрійович,2002-05-10,7.0,7,7,Female,Сватове,21.799594086032663
308,Ірина,Влох,1999-06-08,52.0,3,3,Female,Рені,24.722881757265537
309,Марина,Бгиденко,2008-10-26,90.0,0,0,Female,Любомль,15.33110093534773
311,Еріка,Юрчук,2002-12-31,64.0,3,2,Female,Вугледар,21.155758469594304
314,Маруся,Артимишин,1997-03-15,4.0,3,1,Female,Миколаїв,26.955758469594304
318,Тетяна,Ґоляш,2008-07-01,17.0,2,1,Female,Пустомити,15.651648880553209
319,Михайлина,Запорожець,2006-09-12,81.0,7,2,Female,Малин,17.454388606580608
320,Пріска,Проценко,1993-12-08,31.0,2,2,Female,Інкерман,30.224251620279237
322,Василина,Зарудний,2006-11-17,92.0,0,0,Female,Славута,17.273566688772387
328,Одарка,Ребрик,2004-03-18,47.0,2,2,Female,Вознесенівка,19.94205983945732
330,Соломія,Засенко,1999-08-16,20.0,6,1,Female,Мена ,24.533840661375127
334,Оксана,Данькевич,2001-10-05,74.0,9,4,Female,Приморськ (Україна),22.394114633977868
336,Ірена,Тичина,2002-05-16,29.0,6,6,Female,Вугледар,21.783155729868277
338,Софія,Голобородько,2003-02-23,94.0,4,0,Female,Красноперекопськ,21.00781326411485
339,Ада,Ляшко,2004-10-24,97.0,5,5,Female,Новий Калинів,19.33932011342992
340,Ірина,Вакарчук,2002-05-25,34.0,5,2,Female,Золочів,21.7584981956217
343,Камілла,Колодуб,2006-04-09,7.0,2,2,Female,Сорокине,17.881785866854578
346,Вікторія,Сіробаба,2000-10-25,56.0,1,0,Female,Первомайськ,23.33932011342992
347,Богданна,Чумак,1998-02-19,49.0,9,2,Female,Городенка,26.02151189425184
349,Еріка,Вдовенко,1996-03-19,10.0,0,0,Female,Мар'їнка,27.944799565484715
350,Вікторія,Арсенич,1994-12-21,97.0,3,0,Female,Остер ,29.188635181923072
352,Михайлина,Ґоляш,1994-10-02,68.0,7,6,Female,Канів,29.407813264114854
353,Клавдія,Андрієвич,1998-03-28,49.0,9,4,Female,Молодогвардійськ,25.92014203123814
354,Данна,Рудик,2006-12-03,62.0,3,2,Female,Дубляни,17.22973107233403
355,Сніжана,Проценко,2000-07-03,34.0,10,2,Female,Сторожинець,23.65164888055321
357,Одарка,Тихий,2002-12-22,33.0,6,0,Female,Подільськ,21.18041600384088
360,Амалія,Ґерус,1994-03-18,93.0,7,6,Female,Городенка,29.95027901753951
361,Роксолана,Засуха,1999-06-10,49.0,5,5,Female,Рівне,24.717402305210744
362,Еріка,Гавриш,1994-03-24,93.0,1,1,Female,Сарни,29.933840661375125
363,Галина,Батіг,1997-05-04,17.0,3,2,Female,Носівка,26.81877216822444
364,Михайлина,Салій,1999-12-18,71.0,2,2,Female,Долина ,24.19411463397787
365,Лілія,Архимович,2008-08-24,12.0,4,3,Female,Баранівка,15.503703675073757
369,Анастасія,Примаченко,2003-01-04,5.0,10,6,Female,Зміїв,21.144799565484718
371,Єлисавета,Оробець,2002-09-23,35.0,1,1,Female,Маріуполь,21.426991346306632
372,Василина,Ващенко-Захарченко,2008-09-09,53.0,2,2,Female,Татарбунари,15.4598680586354
375,Едита,Єресько,1993-02-23,98.0,4,0,Female,Зміїв,31.013292716169648
376,Сніжана,Дутка,2000-08-30,48.0,1,0,Female,Калинівка ,23.49274477096417
381,Галина,Петлюра,1993-08-14,49.0,8,5,Female,Путивль,30.54205983945732
382,Любов,Чекалюк,2005-07-22,55.0,5,1,Female,Кодима,18.596854360005263
385,Михайлина,Іщенко,2002-07-29,36.0,3,2,Female,Броди,21.58041600384088
386,Лілія,Шиян,2008-01-19,94.0,2,1,Female,Радивилів,16.10096394904636
389,Маруся,Чередник,2001-11-10,63.0,4,0,Female,Ямпіль,22.295484496991566
391,Анжела,Євдокименко,2000-08-23,80.0,0,0,Female,Сулимівка (Слов'янськ),23.511922853155948
392,Марʼяна,Баклан,1993-07-05,98.0,7,6,Female,Дрогобич,30.65164888055321
394,Емілія,Бабариченко,2003-01-18,22.0,2,2,Female,Перечин,21.106443401101153
397,Ганна,Товстоліс,1995-08-08,21.0,9,5,Female,Бережани,28.558498195621702
398,Віолетта,Шахрай,2004-05-23,68.0,6,6,Female,Буча,19.7612379216491
399,Пріска,Ватаманюк,2003-06-19,73.0,1,0,Female,Новояворівськ,20.690005044936772
400,Василина,Дерегус,1998-12-12,75.0,7,0,Female,Липовець,25.21055299014225
403,Марта,Литвиненко,2001-07-26,56.0,8,3,Female,Бердичів,22.588635181923074
408,Дарина,Гриценко,2007-07-27,50.0,5,4,Female,Южне,16.583155729868277
411,Анжела,Бабенко,1998-05-30,5.0,5,1,Female,Костянтинівка,25.747539291512112
415,Софія,Ватаманюк,2002-06-03,54.0,3,2,Female,Інкерман,21.733840661375126
421,Сніжана,Удовиченко,2001-02-15,33.0,3,1,Female,Радивилів,23.02973107233403
425,Світлана,Якименко,1998-09-30,8.0,5,3,Female,Коростень,25.41055299014225
427,Любов,Терещук,2008-01-06,21.0,1,1,Female,Армянськ,16.136580387402525
429,Соломія,Артеменко,1993-11-16,56.0,1,0,Female,Підгайці,30.284525592881977
432,Валентина,Височан,1996-07-30,87.0,5,4,Female,Моршин,27.58041600384088
434,Едита,Свистун,1993-08-16,49.0,8,7,Female,Прилуки,30.536580387402523
435,Анастасія,Сагаль,2004-08-17,69.0,0,0,Female,Борзна,19.525621483292934
436,Еріка,Перепелиця,2001-07-24,41.0,1,0,Female,Севастополь,22.594114633977867
441,Володимира,Перепелиця,2000-01-15,42.0,3,2,Female,Ланівці,24.117402305210742
444,Аліна,Колісниченко,2001-08-21,70.0,9,1,Female,Чернівці,22.517402305210744
445,Богуслава,Гайда,2000-10-17,36.0,3,1,Female,Джанкой,23.3612379216491
446,Анастасія,Токар,1993-06-12,18.0,7,1,Female,Березань ,30.714662579183347
447,Клавдія,Полтавець,2001-04-06,13.0,0,0,Female,Брянка,22.892744770964168
448,Богуслава,Пилипенко,2006-05-28,38.0,10,0,Female,Ананьїв,17.747539291512112
449,Анжела,Михайлюк,2007-02-15,72.0,4,4,Female,Підгайці,17.026991346306634
451,Людмила,Шинкаренко,1995-08-31,15.0,1,1,Female,Суходільськ,28.495484496991565
453,Олена,Лемешко,1996-07-14,78.0,3,1,Female,Вовчанськ,27.624251620279235
455,Орина,Рева,1993-11-05,71.0,5,2,Female,Глухів,30.314662579183345
457,Алла,Романенко,1998-11-02,62.0,10,10,Female,Ізмаїл,25.32014203123814
458,Тереза,Дзиндра,1998-12-28,98.0,6,0,Female,Гірське,25.166717373703893
459,Марина,Єрченко,2005-06-27,36.0,7,5,Female,Євпаторія,18.665347510690196
460,Віра,Зарудний,2005-10-17,100.0,4,4,Female,Соледар,18.358498195621703
461,Лариса,Петлюра,1994-05-27,31.0,1,0,Female,Сєвєродонецьк,29.7584981956217
463,Анжела,Батюк,1995-08-20,56.0,9,7,Female,Малин,28.525621483292934
465,Святослава,Вакарчук,2000-04-27,97.0,9,9,Female,Міусинськ,23.835210524388824
469,Марія,Литвин,2003-10-11,59.0,1,1,Female,Рава-Руська,20.37767627781348
474,Василина,Аронець,1995-02-05,10.0,9,4,Female,Рава-Руська,29.0626077846628
475,Галина,Юрчишин,2000-04-03,92.0,7,3,Female,Підгородне,23.90096394904636
476,Ганна,Мірошниченко,1994-03-27,18.0,1,1,Female,Моспине,29.925621483292936
477,Володимира,Ящук,2002-04-08,36.0,6,3,Female,Копичинці,21.887265318909375
478,Вікторія,Годунок,1994-08-22,72.0,5,1,Female,Заліщики,29.52014203123814
479,Камілла,Токар,1998-07-12,25.0,10,4,Female,Сорокине,25.62973107233403
484,Сніжана,Влох,1998-12-19,43.0,7,6,Female,Дрогобич,25.19137490795047
486,Оксана,Сагаль,2003-07-30,38.0,5,5,Female,Петрово-Красносілля,20.577676277813485
487,Еріка,Скирда,1994-08-13,94.0,4,0,Female,Нетішин,29.544799565484716
489,Лариса,Лупій,1994-05-08,16.0,8,4,Female,Хмельницький,29.81055299014225
491,Сніжана,Чубай,1995-03-04,28.0,1,0,Female,Антрацит ,28.988635181923073
494,Одарка,Семенченко,2008-08-09,4.0,7,2,Female,Хирів,15.544799565484716
502,Василина,Єщенко,1994-08-21,52.0,8,8,Female,Кремінна,29.522881757265537
505,Сніжана,Малик,1997-06-25,13.0,0,0,Female,Селидове,26.676306414799786
507,Алла,Яковенко,2003-10-24,19.0,1,0,Female,Кобеляки,20.34205983945732
508,Любов,Дерегус,2002-09-16,14.0,6,0,Female,Ялта,21.446169428498415
510,Клавдія,Андріїшин,2002-03-09,64.0,8,6,Female,Чуднів,21.96945709973129
513,Ірена,Шутько,2002-06-14,26.0,8,5,Female,Южне,21.703703675073758
515,Михайлина,Михалюк,1995-10-10,43.0,4,0,Female,Донецьк,28.385895455895675
516,Оксенія,Джус,2006-04-05,97.0,10,5,Female,Докучаєвськ,17.892744770964168
517,Богданна,Абрамчук,2004-01-29,98.0,3,0,Female,Новий Калинів,20.076306414799785
522,Надія,Колісниченко,2002-01-06,38.0,5,1,Female,Подільськ,22.13932011342992
526,Едита,Шиян,1996-08-24,62.0,9,1,Female,Кролевець,27.511922853155948
527,Марʼяна,Гунько,1999-07-09,4.0,9,8,Female,Соледар,24.637950250416225
528,Ольга,Аронець,2000-02-28,7.0,8,2,Female,Липовець,23.996854360005266
529,Михайлина,Рябошапка,1997-10-06,67.0,10,10,Female,Ківерці,26.394114633977868
531,Любов,Баклан,2008-06-08,50.0,3,3,Female,Рахів,15.714662579183345
532,Марина,Акуленко,2002-10-11,24.0,7,3,Female,Сімферополь,21.37767627781348
534,Дарина,Гайдамака,1993-02-23,91.0,0,0,Female,Рогатин,31.013292716169648
535,Ліза,Засуха,1998-01-04,61.0,4,1,Female,Богодухів,26.147539291512114
537,Богданна,Цушко,1994-04-07,13.0,8,1,Female,Костянтинівка,29.895484496991564
538,Марта,Затовканюк,2000-08-02,23.0,7,5,Female,Сватове,23.56945709973129
539,Віолетта,Свириденко,2003-10-13,85.0,10,8,Female,Барвінкове,20.37219682575869
540,Богданна,Вітер,2003-03-21,67.0,10,7,Female,Ізяслав,20.936580387402525
541,Анастасія,Хомик,2003-04-04,77.0,3,1,Female,Синельникове,20.898224223018964
543,Олена,Малик,1996-01-15,41.0,2,2,Female,Фастів,28.120142031238142
544,Розалія,Павленко,2007-10-06,16.0,3,1,Female,Севастополь,16.38863518192307
546,Роксолана,Івасюк,2000-10-21,72.0,1,0,Female,Золоте,23.35027901753951
547,Алла,Фоменко,2005-09-06,5.0,9,7,Female,Бар,18.47082696274499
562,Христина,Жаліло,1997-11-06,70.0,7,3,Female,Білозерське,26.309183127128552
564,Віра,Авраменко,1997-04-22,30.0,5,4,Female,Роздільна,26.85164888055321
567,Варвара,Рябовіл,2006-01-29,61.0,0,0,Female,Старокостянтинів,18.073566688772388
568,Альбіна,Носаченко,2005-04-27,52.0,9,3,Female,Скадовськ,18.832470798361427
570,Альбіна,Рева,2007-01-08,64.0,3,1,Female,Слов'янськ,17.131100935347728
572,Ірена,Жук,1997-10-26,33.0,3,3,Female,Київ,26.33932011342992
574,Анжела,Захарченко,2003-01-15,96.0,4,3,Female,Кам'янка-Бузька,21.114662579183346
575,Роксолана,Юрченко,1996-01-23,28.0,5,1,Female,Сарни,28.098224223018963
578,Галина,Гузій,2007-01-28,15.0,9,8,Female,Сватове,17.076306414799785
580,Еріка,Лукаш,1996-03-25,49.0,6,1,Female,Коломия,27.928361209320332
581,Ярослава,Титаренко,1993-07-22,87.0,1,1,Female,Южне,30.605073538087456
583,Юстина,Чекалюк,2009-01-04,69.0,2,1,Female,Вугледар,15.139320113429921
584,Аліна,Дейсун,1995-09-23,23.0,4,3,Female,Южне,28.43247079836143
586,Єлисавета,Журба,2006-12-08,79.0,8,7,Female,Боково-Хрустальне,17.216032442197044
587,Надія,Байдак,1994-02-25,31.0,2,1,Female,Нове Давидково,30.00781326411485
590,Емілія,Сімашкевич,2000-11-08,17.0,0,0,Female,Коростень,23.30096394904636
593,Орина,Саченко,1993-09-08,48.0,9,5,Female,Носівка,30.473566688772387
596,Марія,Тягнибок,2002-09-12,61.0,8,6,Female,Привілля,21.457128332608004
597,Роксолана,Хоменко,1995-07-12,61.0,7,1,Female,Тлумач,28.632470798361428
601,Олена,Черінько,1996-05-01,78.0,10,1,Female,Маріуполь,27.826991346306635
604,Ліза,Оробець,2004-06-14,32.0,10,10,Female,Свалява,19.70096394904636
609,Роксолана,Швачко,2000-07-18,48.0,10,9,Female,Луганськ,23.61055299014225
610,Аліна,Коваленко,1999-06-30,91.0,3,0,Female,Знам'янка,24.6626077846628
611,Марина,Мазур,2004-11-02,81.0,5,2,Female,Зугрес,19.314662579183345
613,Богуслава,Нестеренко,2000-05-19,47.0,3,0,Female,Саки ,23.774936551786087
616,Одарка,Артим,1999-10-20,100.0,1,0,Female,Павлоград,24.355758469594306
620,Клавдія,Кабаненко,1999-12-20,97.0,7,1,Female,Антрацит ,24.188635181923072
624,Ліза,Бабич,1997-05-23,61.0,9,8,Female,Ізюм,26.766717373703894
625,Анжела,Палій,2000-11-24,15.0,9,9,Female,Барвінкове,23.257128332608005
628,Златослава,Оробець,1996-07-26,70.0,8,0,Female,Бучач,27.59137490795047
630,Ада,Радченко,2003-09-15,55.0,8,5,Female,Ходорів,20.44890915452581
633,Ганна,Овсієнко,1993-10-11,21.0,6,4,Female,Попасна,30.383155729868278
634,Лариса,Ващук,1993-12-10,64.0,1,1,Female,Радехів,30.218772168224444
637,Одарка,Мазур,1994-09-02,53.0,7,1,Female,Миронівка,29.490005044936773
638,Анжела,Колесниченко,1993-03-21,38.0,9,7,Female,Балта,30.94205983945732
640,Варвара,Товстуха,2004-08-12,20.0,10,1,Female,Брянка,19.539320113429923
641,Валентина,Балабан,2003-01-25,64.0,5,0,Female,Вишгород,21.087265318909374
643,Тетяна,Павличенко,2001-01-16,80.0,2,1,Female,Дубно,23.11192285315595
644,Марія,Акуленко,2009-01-10,64.0,1,0,Female,Горішні Плавні,15.122881757265539
